lizard,frequency,date,time,time.block,time.class,lat,long,ground,mesohabitat,microhabitat.simple,microhabitat1,microhabitat2,microhabitat3,behavior,observer
r,760,29-Jun,19:01,evening,PM,35.11128,-119.62272,below,open,burrow,burrow,,,standing,taylor
r,760,1-Jul,5:42,early morn,AM,35.11126,-119.62271,below,open,burrow,burrow,,,standing,taylor
r,760,21-Jun,14:33,afternoon,PM,35.11129,-119.62271,below,open,burrow,burrow,,,standing,taylor
r,760,22-Jun,16:25,afternoon,PM,35.11129,-119.62271,below,open,burrow,burrow,,,standing,taylor
r,760,4-Jul,19:42,evening,PM,35.11131,-119.62271,below,open,burrow,burrow,,,standing,taylor
r,760,5-Jul,16:42,afternoon,PM,35.11157,-119.62271,above,shrub,shrub,undershrub,,,cooling,taylor
u,820,30-Jun,16:04,afternoon,PM,35.11394,-119.62271,above,open,wash,washbank,,,cooling,taylor
r,760,29-Jun,15:45,afternoon,PM,35.11127,-119.6227,below,open,burrow,burrow,,,standing,taylor
r,760,23-Jun,15:50,afternoon,PM,35.11131,-119.6227,below,open,burrow,burrow,,,standing,taylor
r,760,1-Jul,17:01,evening,PM,35.11114,-119.62267,above,shrub,shrub,undershrub,,,cooling,taylor
r,760,1-Jul,17:01,evening,PM,35.11114,-119.62267,above,shrub,shrub,undershrub,,,cooling,taylor
r,760,27-Jun,6:15,early morn,AM,35.11128,-119.62267,below,open,burrow,burrow,,,standing,taylor
r,760,24-Jun,10:03,morn,AM,35.11147,-119.62267,above,open,burrow,burrowmound,,,sunning,taylor
u,820,15-Jun,16:30,afternoon,PM,35.11388,-119.62267,above,shrub,shrub,shrubedge,,,sunning,taylor
r,760,4-Jul,9:27,morn,AM,35.1113,-119.62264,above,open,bare,barepatch,,,sunning,taylor
r,760,21-Jun,10:43,morn,AM,35.11145,-119.62264,above,shrub,shrub,undershrub,,,standing,taylor
ac,979,23-Jun,9:18,morn,AM,35.11338,-119.6226,above,shrub,shrub,shrubedge,,,sunning,taylor
u,820,1-Jul,5:58,early morn,AM,35.11383,-119.62259,below,open,burrow,burrow,wash,,standing,taylor
u,820,3-Jul,6:11,early morn,AM,35.1138,-119.62258,below,open,burrow,burrow,washbank,,standing,taylor
r,760,29-Jun,9:38,morn,AM,35.11159,-119.62257,above,open,bare,barepatch,,,interacting,taylor
u,820,25-Jun,6:30,early morn,AM,35.11381,-119.62257,below,open,burrow,burrow,washbank,,standing,taylor
u,820,26-Jun,7:10,early morn,AM,35.11385,-119.62257,below,open,burrow,burrow,washbank,,standing,taylor
u,820,24-Jun,6:16,early morn,AM,35.11379,-119.62256,below,open,burrow,burrow,washbank,,standing,taylor
u,820,1-Jul,17:14,evening,PM,35.11382,-119.62254,above,shrub,shrub,undershrub,,,cooling,taylor
u,820,1-Jul,17:14,evening,PM,35.11382,-119.62254,above,shrub,shrub,undershrub,,,cooling,taylor
d,240,25-Jun,15:38,afternoon,PM,35.11725,-119.62251,above,open,annuals,annuals,washbank,,cooling,taylor
w,860,27-Jun,9:23,morn,AM,35.11376,-119.6225,below,shrub,burrow,burrow,undershrub,,standing,taylor
z,919,30-Jun,16:22,afternoon,PM,35.11623,-119.62247,below,open,burrow,burrow,,,standing,taylor
w,860,22-Jun,16:47,afternoon,PM,35.11375,-119.62246,above,shrub,shrub,undershrub,,,standing,taylor
z,919,1-Jul,17:34,evening,PM,35.11625,-119.62244,above,shrub,shrub,undershrub,,,cooling,taylor
u,820,15-Jun,9:44,morn,AM,35.11371,-119.62243,above,shrub,shrub,shrubedge,washbank,,sunning,taylor
ac,979,24-Jun,6:03,early morn,AM,35.11337,-119.6224,below,open,burrow,burrow,,,standing,taylor
ac,979,25-Jun,6:13,early morn,AM,35.11335,-119.62239,below,open,burrow,burrow,,,standing,taylor
ac,979,22-Jun,16:32,afternoon,PM,35.11337,-119.62238,below,open,burrow,burrow,,,standing,taylor
ac,979,5-Jul,16:49,afternoon,PM,35.11337,-119.62238,below,open,burrow,burrow,,,standing,taylor
ac,979,4-Jul,17:36,afternoon,PM,35.1134,-119.62238,below,open,burrow,burrow,,,standing,taylor
ac,979,18-Jun,20:19,evening,PM,35.11341,-119.62238,below,open,burrow,burrow,,,standing,taylor
ac,979,28-Jun,16:07,afternoon,PM,35.11337,-119.62237,below,open,burrow,burrow,,,standing,taylor
ac,979,22-Jun,19:35,evening,PM,35.11337,-119.62236,below,open,burrow,burrow,,,standing,taylor
ac,979,1-Jul,5:49,early morn,AM,35.11337,-119.62236,below,open,burrow,burrow,,,standing,taylor
ac,979,23-Jun,19:13,evening,PM,35.1134,-119.62236,below,open,burrow,burrow,,,standing,taylor
ac,979,27-Jun,6:21,early morn,AM,35.11338,-119.62235,below,open,burrow,burrow,,,standing,taylor
ac,979,2-Jul,19:30,evening,PM,35.11338,-119.62235,below,open,burrow,burrow,,,standing,taylor
ac,979,30-Jun,19:15,evening,PM,35.11339,-119.62235,below,open,burrow,burrow,,,standing,taylor
ac,979,3-Jul,16:48,afternoon,PM,35.11339,-119.62235,below,open,burrow,burrow,,,standing,taylor
ac,979,26-Jun,7:06,early morn,AM,35.11337,-119.62234,below,open,burrow,burrow,,,standing,taylor
ac,979,29-Jun,19:06,evening,PM,35.11337,-119.62234,below,open,burrow,burrow,,,standing,taylor
ac,979,5-Jul,19:35,evening,PM,35.11338,-119.62234,below,open,burrow,burrow,,,standing,taylor
